step,time_s,contact_force_N,crank_rpm
512,1.026000,0.000000,9.0269
513,1.028000,0.000000,9.0267
514,1.030000,0.000000,9.0265
515,1.032000,0.000000,9.0263
516,1.034000,0.000000,9.0261
517,1.036000,0.000000,9.0259
518,1.038000,0.000000,9.0257
519,1.040000,0.000000,9.0255
520,1.042000,0.000000,9.0253
521,1.044000,0.000000,9.0251
522,1.046000,0.000000,9.0249
523,1.048000,0.000000,9.0247
524,1.050000,0.000000,9.0245
525,1.052000,0.000000,9.0243
526,1.054000,0.000000,9.0241
527,1.056000,0.000000,9.0239
528,1.058000,0.000000,9.0237
529,1.060000,0.000000,9.0235
530,1.062000,0.000000,9.0233
531,1.064000,0.000000,9.0231
532,1.066000,0.000000,9.0229
533,1.068000,0.000000,9.0227
534,1.070000,0.000000,9.0226
535,1.072000,0.000000,9.0224
536,1.074000,0.000000,9.0222
537,1.076000,0.000000,9.0220
538,1.078000,0.000000,9.0218
539,1.080000,0.000000,9.0216
540,1.082000,0.000000,9.0214
541,1.084000,0.000000,9.0212
542,1.086000,0.000000,9.0210
543,1.088000,0.000000,9.0209
544,1.090000,0.000000,9.0207
545,1.092000,0.000000,9.0205
546,1.094000,0.000000,9.0203
547,1.096000,0.000000,9.0201
548,1.098000,0.000000,9.0199
549,1.100000,0.000000,9.0198
550,1.102000,0.000000,9.0196
551,1.104000,0.000000,9.0194
552,1.106000,0.000000,9.0192
553,1.108000,0.000000,9.0190
554,1.110000,0.000000,9.0189
555,1.112000,0.000000,9.0187
556,1.114000,0.000000,9.0185
557,1.116000,0.000000,9.0183
558,1.118000,0.000000,9.0181
559,1.120000,0.000000,9.0180
560,1.122000,0.000000,9.0178
561,1.124000,0.000000,9.0176
562,1.126000,0.000000,9.0174
563,1.128000,0.000000,9.0173
564,1.130000,0.000000,9.0171
565,1.132000,0.000000,9.0169
566,1.134000,0.000000,9.0167
567,1.136000,0.000000,9.0166
568,1.138000,0.000000,9.0164
569,1.140000,0.000000,9.0162
570,1.142000,0.000000,9.0161
571,1.144000,0.000000,9.0159
572,1.146000,0.000000,9.0157
573,1.148000,0.000000,9.0156
574,1.150000,0.000000,9.0154
575,1.152000,0.000000,9.0152
576,1.154000,0.000000,9.0151
577,1.156000,0.000000,9.0149
578,1.158000,0.000000,9.0147
579,1.160000,0.000000,9.0146
580,1.162000,0.000000,9.0144
581,1.164000,0.000000,9.0142
582,1.166000,0.000000,9.0141
583,1.168000,0.000000,9.0139
584,1.170000,0.000000,9.0137
585,1.172000,0.000000,9.0136
586,1.174000,0.000000,9.0134
587,1.176000,0.000000,9.0133
588,1.178000,0.000000,9.0131
589,1.180000,0.000000,9.0130
590,1.182000,0.000000,9.0128
591,1.184000,0.000000,9.0126
592,1.186000,0.000000,9.0125
593,1.188000,0.000000,9.0123
594,1.190000,0.000000,9.0122
595,1.192000,0.000000,9.0120
596,1.194000,0.000000,9.0119
597,1.196000,0.000000,9.0117
598,1.198000,0.000000,9.0116
599,1.200000,0.000000,9.0114
600,1.202000,0.000000,9.0113
601,1.204000,0.000000,9.0111
602,1.206000,0.000000,9.0110
603,1.208000,0.000000,9.0108
604,1.210000,0.000000,9.0107
605,1.212000,0.000000,9.0105
606,1.214000,0.000000,9.0104
607,1.216000,0.000000,9.0102
608,1.218000,0.000000,9.0101
609,1.220000,0.000000,9.0099
610,1.222000,0.000000,9.0098
611,1.224000,0.000000,9.0096
612,1.226000,0.000000,9.0095
613,1.228000,0.000000,9.0093
614,1.230000,0.000000,9.0092
615,1.232000,0.000000,9.0091
616,1.234000,0.000000,9.0089
617,1.236000,0.000000,9.0088
618,1.238000,0.000000,9.0086
619,1.240000,0.000000,9.0085
620,1.242000,0.000000,9.0084
621,1.244000,0.000000,9.0082
622,1.246000,0.000000,9.0081
623,1.248000,0.000000,9.0079
624,1.250000,0.000000,9.0078
625,1.252000,0.000000,9.0077
626,1.254000,0.000000,9.0075
627,1.256000,0.000000,9.0074
628,1.258000,0.000000,9.0073
629,1.260000,0.000000,9.0071
630,1.262000,0.000000,9.0070
631,1.264000,0.000000,9.0069
632,1.266000,0.000000,9.0067
633,1.268000,0.000000,9.0066
634,1.270000,0.000000,9.0065
635,1.272000,0.000000,9.0064
636,1.274000,0.000000,9.0062
637,1.276000,0.000000,9.0061
638,1.278000,0.202942,9.0000
639,1.280000,0.462800,8.9906
640,1.282000,0.839908,8.9796
641,1.284000,1.316080,8.9676
642,1.286000,1.869680,8.9542
643,1.288000,2.477503,8.9388
644,1.290000,3.116110,8.9214
645,1.292000,3.762633,8.9024
646,1.294000,4.394860,8.8827
647,1.296000,4.990815,8.8636
648,1.298000,5.529272,8.8464
649,1.300000,5.992229,8.8324
650,1.302000,6.368690,8.8220
651,1.304000,6.657175,8.8146
652,1.306000,6.863437,8.8095
653,1.308000,6.997198,8.8062
654,1.310000,7.070535,8.8043
655,1.312000,7.098290,8.8039
656,1.314000,7.098633,8.8046
657,1.316000,7.092391,8.8059
658,1.318000,7.101141,8.8071
659,1.320000,7.143924,8.8074
660,1.322000,7.236753,8.8065
661,1.324000,7.391624,8.8039
662,1.326000,7.616348,8.7997
663,1.328000,7.914928,8.7937
664,1.330000,8.288196,8.7858
665,1.332000,8.734407,8.7761
666,1.334000,9.249550,8.7644
667,1.336000,9.827351,8.7510
668,1.338000,10.459276,8.7360
669,1.340000,11.134953,8.7200
670,1.342000,11.843126,8.7033
671,1.344000,12.572778,8.6862
672,1.346000,13.313787,8.6690
673,1.348000,14.056789,8.6518
674,1.350000,14.792602,8.6349
675,1.352000,15.511963,8.6185
676,1.354000,16.206009,8.6031
677,1.356000,16.867083,8.5888
678,1.358000,17.489074,8.5756
679,1.360000,18.332128,8.5565
680,1.362000,19.213389,8.5370
681,1.364000,20.165635,8.5202
682,1.366000,21.198996,8.5039
683,1.368000,22.376866,8.4819
684,1.370000,23.751923,8.4507
685,1.372000,25.297887,8.4141
686,1.374000,26.928439,8.3795
687,1.376000,28.594730,8.3494
688,1.378000,30.364351,8.3171
689,1.380000,32.340856,8.2748
690,1.382000,34.526245,8.2239
691,1.384000,36.769536,8.1763
692,1.386000,38.963780,8.1380
693,1.388000,41.232620,8.0982
694,1.390000,43.776013,8.0434
695,1.392000,46.534202,7.9800
696,1.394000,49.192582,7.9295
697,1.396000,51.680265,7.8932
698,1.398000,54.401998,7.8431
699,1.400000,57.562175,7.7687
700,1.402000,60.662313,7.7046
701,1.404000,63.266553,7.6740
702,1.406000,66.005302,7.6340
703,1.408000,69.534841,7.5475
704,1.410000,73.035959,7.4703
705,1.412000,75.512469,7.4560
706,1.414000,78.128807,7.4291
707,1.416000,82.194787,7.3178
708,1.418000,86.021358,7.2318
709,1.420000,87.776048,7.2617
710,1.422000,90.425765,7.2336
