step,time_s,contact_force_N,crank_rpm
258,0.518000,0.000000,14.7599
259,0.520000,0.000000,14.7479
260,0.522000,0.000000,14.7360
261,0.524000,0.000000,14.7242
262,0.526000,0.000000,14.7124
263,0.528000,0.000000,14.7007
264,0.530000,0.000000,14.6891
265,0.532000,0.000000,14.6776
266,0.534000,0.000000,14.6661
267,0.536000,0.000000,14.6548
268,0.538000,0.000000,14.6434
269,0.540000,0.000000,14.6322
270,0.542000,0.000000,14.6210
271,0.544000,0.000000,14.6099
272,0.546000,0.000000,14.5989
273,0.548000,0.000000,14.5879
274,0.550000,0.000000,14.5771
275,0.552000,0.000000,14.5662
276,0.554000,0.000000,14.5555
277,0.556000,0.000000,14.5448
278,0.558000,0.000000,14.5342
279,0.560000,0.000000,14.5237
280,0.562000,0.000000,14.5132
281,0.564000,0.000000,14.5028
282,0.566000,0.000000,14.4925
283,0.568000,0.000000,14.4822
284,0.570000,0.000000,14.4720
285,0.572000,0.000000,14.4619
286,0.574000,0.000000,14.4519
287,0.576000,0.000000,14.4419
288,0.578000,0.000000,14.4320
289,0.580000,0.000000,14.4221
290,0.582000,0.000000,14.4123
291,0.584000,0.000000,14.4026
292,0.586000,0.000000,14.3929
293,0.588000,0.000000,14.3833
294,0.590000,0.000000,14.3738
295,0.592000,0.000000,14.3644
296,0.594000,0.000000,14.3550
297,0.596000,0.000000,14.3456
298,0.598000,0.000000,14.3364
299,0.600000,0.000000,14.3272
300,0.602000,0.000000,14.3180
301,0.604000,0.000000,14.3090
302,0.606000,0.000000,14.3000
303,0.608000,0.000000,14.2910
304,0.610000,0.000000,14.2822
305,0.612000,0.000000,14.2733
306,0.614000,0.000000,14.2646
307,0.616000,0.000000,14.2559
308,0.618000,0.000000,14.2473
309,0.620000,0.000000,14.2387
310,0.622000,0.000000,14.2302
311,0.624000,0.000000,14.2218
312,0.626000,0.000000,14.2134
313,0.628000,0.000000,14.2051
314,0.630000,0.000000,14.1968
315,0.632000,0.000000,14.1886
316,0.634000,0.000000,14.1805
317,0.636000,0.000000,14.1724
318,0.638000,0.000000,14.1644
319,0.640000,0.000000,14.1565
320,0.642000,0.000000,14.1486
321,0.644000,0.000000,14.1408
322,0.646000,0.000000,14.1330
323,0.648000,0.000000,14.1253
324,0.650000,0.000000,14.1176
325,0.652000,0.000000,14.1100
326,0.654000,0.000000,14.1025
327,0.656000,0.000000,14.0950
328,0.658000,0.000000,14.0876
329,0.660000,0.000000,14.0803
330,0.662000,0.000000,14.0730
331,0.664000,0.000000,14.0657
332,0.666000,0.000000,14.0586
333,0.668000,0.000000,14.0514
334,0.670000,0.000000,14.0444
335,0.672000,0.000000,14.0374
336,0.674000,0.000000,14.0304
337,0.676000,0.000000,14.0235
338,0.678000,0.000000,14.0167
339,0.680000,0.000000,14.0099
340,0.682000,0.000000,14.0032
341,0.684000,0.000000,13.9965
342,0.686000,0.000000,13.9899
343,0.688000,0.000000,13.9834
344,0.690000,0.000000,13.9769
345,0.692000,0.000000,13.9705
346,0.694000,0.000000,13.9641
347,0.696000,0.911836,13.5430
348,0.698000,1.746756,12.9992
349,0.700000,2.859687,12.3663
350,0.702000,4.119414,11.6900
351,0.704000,5.409996,11.0127
352,0.706000,6.626427,10.3848
353,0.708000,7.689555,9.8501
354,0.710000,8.546917,9.4385
355,0.712000,9.174897,9.1593
356,0.714000,9.577335,9.0021
357,0.716000,9.780082,8.9426
358,0.718000,9.824416,8.9489
359,0.720000,9.752926,8.9984
360,0.722000,9.616784,9.0673
361,0.724000,9.461553,9.1378
362,0.726000,9.328732,9.1955
363,0.728000,9.252724,9.2291
364,0.730000,9.257894,9.2302
365,0.732000,9.356748,9.1937
366,0.734000,9.550155,9.1188
367,0.736000,9.829337,9.0087
368,0.738000,10.178774,8.8695
369,0.740000,10.579227,8.7089
370,0.742000,11.010453,8.5356
371,0.744000,11.453405,8.3580
372,0.746000,11.891857,8.1833
373,0.748000,12.313435,8.0169
374,0.750000,12.710098,7.8622
375,0.752000,13.078112,7.7208
376,0.754000,13.417616,7.5923
377,0.756000,13.731891,7.4753
378,0.758000,14.026450,7.3671
379,0.760000,14.308084,7.2650
380,0.762000,14.583966,7.1660
381,0.764000,14.860884,7.0673
382,0.766000,15.144660,6.9667
383,0.768000,15.886054,6.6787
384,0.770000,16.654347,6.3316
385,0.772000,17.625367,5.9207
386,0.774000,18.759801,5.4500
387,0.776000,20.020849,4.9294
388,0.778000,21.378789,4.3656
389,0.780000,22.797142,3.7729
390,0.782000,24.244624,3.1652
391,0.784000,25.689786,2.5570
392,0.786000,27.100714,1.9632
393,0.788000,28.444439,1.3991
394,0.790000,29.686654,0.8808
395,0.792000,30.792442,0.4243
396,0.794000,31.729071,0.0439
397,0.796000,32.471589,-0.2515
398,0.798000,33.010378,-0.4613
399,0.800000,33.357035,-0.5962
400,0.802000,33.543578,-0.6753
401,0.804000,33.613112,-0.7202
402,0.806000,33.608203,-0.7495
403,0.808000,33.552224,-0.7648
