step,time_s,contact_force_N
579,1.160000,31.499087
580,1.162000,31.499100
581,1.164000,31.499111
582,1.166000,31.499121
583,1.168000,31.499130
584,1.170000,31.499138
585,1.172000,31.499145
586,1.174000,31.499151
587,1.176000,31.499156
588,1.178000,31.499160
589,1.180000,31.499163
590,1.182000,31.499165
591,1.184000,31.499167
592,1.186000,31.499168
593,1.188000,31.499168
594,1.190000,31.499168
595,1.192000,31.499168
596,1.194000,31.499167
597,1.196000,31.499167
598,1.198000,31.499166
599,1.200000,31.499165
600,1.202000,31.499164
601,1.204000,31.499163
602,1.206000,31.499162
603,1.208000,31.499161
604,1.210000,31.499161
605,1.212000,31.499160
606,1.214000,31.499160
607,1.216000,31.499160
608,1.218000,31.499160
609,1.220000,31.499160
610,1.222000,31.499161
611,1.224000,31.499161
612,1.226000,31.499162
613,1.228000,31.499163
614,1.230000,31.499164
615,1.232000,31.499165
616,1.234000,31.499166
617,1.236000,31.499167
618,1.238000,31.499168
619,1.240000,31.499169
620,1.242000,31.499171
621,1.244000,31.499172
622,1.246000,31.499173
623,1.248000,31.499174
624,1.250000,31.499175
625,1.252000,31.499176
626,1.254000,31.499177
627,1.256000,31.499178
628,1.258000,31.499179
629,1.260000,31.499180
630,1.262000,31.499180
631,1.264000,31.499181
632,1.266000,31.499182
633,1.268000,31.499182
634,1.270000,31.499182
635,1.272000,31.499183
636,1.274000,31.499183
637,1.276000,31.499183
638,1.278000,31.499184
639,1.280000,31.499184
640,1.282000,31.499184
641,1.284000,31.499184
642,1.286000,31.499184
643,1.288000,31.499184
644,1.290000,31.499184
645,1.292000,31.499184
646,1.294000,31.499184
647,1.296000,31.499184
648,1.298000,31.499184
649,1.300000,31.499184
650,1.302000,31.499184
651,1.304000,31.499184
652,1.306000,31.499184
653,1.308000,31.499184
654,1.310000,31.499184
655,1.312000,31.499184
656,1.314000,31.499184
657,1.316000,31.499185
658,1.318000,31.499185
659,1.320000,31.499185
660,1.322000,31.499185
661,1.324000,31.499185
662,1.326000,31.499185
663,1.328000,31.499185
664,1.330000,31.499185
665,1.332000,31.499185
666,1.334000,31.499185
667,1.336000,31.499185
668,1.338000,31.499186
669,1.340000,31.499186
670,1.342000,31.499186
671,1.344000,31.499186
672,1.346000,31.499186
673,1.348000,31.499186
674,1.350000,31.499186
675,1.352000,31.499186
676,1.354000,31.499186
677,1.356000,31.499186
678,1.358000,31.499186
679,1.360000,31.499186
680,1.362000,31.499186
681,1.364000,31.499186
682,1.366000,31.499186
683,1.368000,31.499187
684,1.370000,31.499187
685,1.372000,31.499187
686,1.374000,31.499187
687,1.376000,31.499187
688,1.378000,31.499187
689,1.380000,31.499187
690,1.382000,31.499187
691,1.384000,31.499187
692,1.386000,31.499187
693,1.388000,31.499187
694,1.390000,31.499187
695,1.392000,31.499187
696,1.394000,31.499187
697,1.396000,31.499187
698,1.398000,31.499187
699,1.400000,31.499187
700,1.402000,31.499187
701,1.404000,31.499187
702,1.406000,31.499187
703,1.408000,31.499187
704,1.410000,31.499187
705,1.412000,31.499187
706,1.414000,31.499187
707,1.416000,31.499187
708,1.418000,31.499187
709,1.420000,31.499187
710,1.422000,31.499187
711,1.424000,31.499187
712,1.426000,31.499187
713,1.428000,31.499187
714,1.430000,31.499187
715,1.432000,31.499187
716,1.434000,31.499187
717,1.436000,31.499187
718,1.438000,31.499187
719,1.440000,31.499187
720,1.442000,31.499187
721,1.444000,31.499187
722,1.446000,31.499187
723,1.448000,31.499187
724,1.450000,31.499187
725,1.452000,31.499187
726,1.454000,31.499187
727,1.456000,31.499187
728,1.458000,31.499187
729,1.460000,31.499187
730,1.462000,31.499187
731,1.464000,31.499187
732,1.466000,31.499187
733,1.468000,31.499187
734,1.470000,31.499187
735,1.472000,31.499187
736,1.474000,31.499187
737,1.476000,31.499187
738,1.478000,31.499187
739,1.480000,31.499187
740,1.482000,31.499187
741,1.484000,31.499187
742,1.486000,31.499187
743,1.488000,31.499187
744,1.490000,31.499187
745,1.492000,31.499187
746,1.494000,31.499187
747,1.496000,31.499187
748,1.498000,31.499187
749,1.500000,31.499187
750,1.502000,31.499187
751,1.504000,31.499187
752,1.506000,31.499187
753,1.508000,31.499187
754,1.510000,31.499187
755,1.512000,31.499187
756,1.514000,31.499187
757,1.516000,31.499187
758,1.518000,31.499187
759,1.520000,31.499187
760,1.522000,31.499187
761,1.524000,31.499187
762,1.526000,31.499187
763,1.528000,31.499187
764,1.530000,31.499187
765,1.532000,31.499187
766,1.534000,31.499187
767,1.536000,31.499187
768,1.538000,31.499187
769,1.540000,31.499187
770,1.542000,31.499187
771,1.544000,31.499187
772,1.546000,31.499187
773,1.548000,31.499187
774,1.550000,31.499187
775,1.552000,31.499187
776,1.554000,31.499187
777,1.556000,31.499187
778,1.558000,31.499187
779,1.560000,31.499187
780,1.562000,31.499187
781,1.564000,31.499187
782,1.566000,31.499187
783,1.568000,31.499187
784,1.570000,31.499187
785,1.572000,31.499187
786,1.574000,31.499187
787,1.576000,31.499187
788,1.578000,31.499187
789,1.580000,31.499187
790,1.582000,31.499187
791,1.584000,31.499187
792,1.586000,31.499187
793,1.588000,31.499187
794,1.590000,31.499187
795,1.592000,31.499187
796,1.594000,31.499187
797,1.596000,31.499187
798,1.598000,31.499187
799,1.600000,31.499187
800,1.602000,31.499187
801,1.604000,31.499187
802,1.606000,31.499187
803,1.608000,31.499187
804,1.610000,31.499187
805,1.612000,31.499187
806,1.614000,31.499187
807,1.616000,31.499187
808,1.618000,31.499187
809,1.620000,31.499187
810,1.622000,31.499187
811,1.624000,31.499187
812,1.626000,31.499187
813,1.628000,31.499187
814,1.630000,31.499187
815,1.632000,31.499187
816,1.634000,31.499187
817,1.636000,31.499187
818,1.638000,31.499187
819,1.640000,31.499187
820,1.642000,31.499187
821,1.644000,31.499187
822,1.646000,31.499187
823,1.648000,31.499187
824,1.650000,31.499187
825,1.652000,31.499187
826,1.654000,31.499187
827,1.656000,31.499187
828,1.658000,31.499187
829,1.660000,31.499187
830,1.662000,31.499187
831,1.664000,31.499187
832,1.666000,31.499187
833,1.668000,31.499187
834,1.670000,31.499187
835,1.672000,31.499187
836,1.674000,31.499187
837,1.676000,31.499187
838,1.678000,31.499187
839,1.680000,31.499187
840,1.682000,31.499187
841,1.684000,31.499187
842,1.686000,31.499187
843,1.688000,31.499187
844,1.690000,31.499187
845,1.692000,31.499187
846,1.694000,31.499187
847,1.696000,31.499187
848,1.698000,31.499187
849,1.700000,31.499187
850,1.702000,31.499187
851,1.704000,31.499187
852,1.706000,31.499187
853,1.708000,31.499187
854,1.710000,31.499187
855,1.712000,31.499187
856,1.714000,31.499187
857,1.716000,31.499187
858,1.718000,31.499187
859,1.720000,31.499187
860,1.722000,31.499187
861,1.724000,31.499187
862,1.726000,31.499187
863,1.728000,31.499187
864,1.730000,31.499187
865,1.732000,31.499187
866,1.734000,31.499187
867,1.736000,31.499187
868,1.738000,31.499187
869,1.740000,31.499187
870,1.742000,31.499187
871,1.744000,31.499187
872,1.746000,31.499187
873,1.748000,31.499187
874,1.750000,31.499187
875,1.752000,31.499187
876,1.754000,31.499187
877,1.756000,31.499187
878,1.758000,31.499187
879,1.760000,31.499187
880,1.762000,31.499187
881,1.764000,31.499187
882,1.766000,31.499187
883,1.768000,31.499187
884,1.770000,31.499187
885,1.772000,31.499187
886,1.774000,31.499187
887,1.776000,31.499187
888,1.778000,31.499187
