NO.,Time,Value,Pressure
???果:, Maximum:349N, Minimum:0N, Average:34.76N
80,오후 9:12:44,0 N,0.0000MPa
79,오후 9:12:44,16 N,16.0000MPa
78,오후 9:12:43,56 N,56.0000MPa
77,오후 9:12:43,131 N,131.0000MPa
76,오후 9:12:43,247 N,247.0000MPa
75,오후 9:12:43,327 N,327.0000MPa
74,오후 9:12:43,327 N,327.0000MPa
73,오후 9:12:42,328 N,328.0000MPa
72,오후 9:12:42,329 N,329.0000MPa
71,오후 9:12:42,330 N,330.0000MPa
70,오후 9:12:42,331 N,331.0000MPa
69,오후 9:12:42,322 N,322.0000MPa
68,오후 9:12:41,301 N,301.0000MPa
67,오후 9:12:41,274 N,274.0000MPa
66,오후 9:12:41,240 N,240.0000MPa
65,오후 9:12:41,205 N,205.0000MPa
64,오후 9:12:41,170 N,170.0000MPa
63,오후 9:12:41,131 N,131.0000MPa
62,오후 9:12:40,85 N,85.0000MPa
61,오후 9:12:40,49 N,49.0000MPa
60,오후 9:12:40,20 N,20.0000MPa
59,오후 9:12:40,9 N,9.0000MPa
58,오후 9:12:40,0 N,0.0000MPa
57,오후 9:12:39,0 N,0.0000MPa
56,오후 9:12:39,0 N,0.0000MPa
55,오후 9:12:39,0 N,0.0000MPa
54,오후 9:12:39,0 N,0.0000MPa
53,오후 9:12:39,0 N,0.0000MPa
52,오후 9:12:38,0 N,0.0000MPa
51,오후 9:12:38,0 N,0.0000MPa
50,오후 9:12:38,0 N,0.0000MPa
49,오후 9:12:38,0 N,0.0000MPa
48,오후 9:12:38,0 N,0.0000MPa
47,오후 9:12:38,0 N,0.0000MPa
46,오후 9:12:37,0 N,0.0000MPa
45,오후 9:12:37,0 N,0.0000MPa
44,오후 9:12:37,0 N,0.0000MPa
43,오후 9:12:37,0 N,0.0000MPa
42,오후 9:12:37,0 N,0.0000MPa
41,오후 9:12:36,0 N,0.0000MPa
40,오후 9:12:36,0 N,0.0000MPa
39,오후 9:12:36,0 N,0.0000MPa
38,오후 9:12:36,0 N,0.0000MPa
37,오후 9:12:36,0 N,0.0000MPa
36,오후 9:12:35,0 N,0.0000MPa
35,오후 9:12:35,0 N,0.0000MPa
34,오후 9:12:35,0 N,0.0000MPa
33,오후 9:12:35,0 N,0.0000MPa
32,오후 9:12:35,0 N,0.0000MPa
31,오후 9:12:35,0 N,0.0000MPa
30,오후 9:12:34,0 N,0.0000MPa
29,오후 9:12:34,0 N,0.0000MPa
28,오후 9:12:34,0 N,0.0000MPa
27,오후 9:12:34,0 N,0.0000MPa
26,오후 9:12:34,0 N,0.0000MPa
25,오후 9:12:33,0 N,0.0000MPa
24,오후 9:12:33,0 N,0.0000MPa
23,오후 9:12:33,0 N,0.0000MPa
22,오후 9:12:33,0 N,0.0000MPa
21,오후 9:12:33,0 N,0.0000MPa
20,오후 9:12:32,0 N,0.0000MPa
19,오후 9:12:32,0 N,0.0000MPa
18,오후 9:12:32,0 N,0.0000MPa
17,오후 9:12:32,0 N,0.0000MPa
16,오후 9:12:32,0 N,0.0000MPa
15,오후 9:12:32,0 N,0.0000MPa
14,오후 9:12:31,0 N,0.0000MPa
13,오후 9:12:31,0 N,0.0000MPa
12,오후 9:12:31,0 N,0.0000MPa
11,오후 9:12:31,0 N,0.0000MPa
10,오후 9:12:31,0 N,0.0000MPa
9,오후 9:12:30,0 N,0.0000MPa
8,오후 9:12:30,0 N,0.0000MPa
7,오후 9:12:30,0 N,0.0000MPa
6,오후 9:12:30,0 N,0.0000MPa
5,오후 9:12:30,0 N,0.0000MPa
4,오후 9:12:29,0 N,0.0000MPa
3,오후 9:12:29,0 N,0.0000MPa
2,오후 9:12:29,0 N,0.0000MPa
1,오후 9:12:29,0 N,0.0000MPa
0,오후 9:12:29,0 N,0.0000MPa
